date,value
2016-04-19,13.34
2016-04-20,12.84
2016-04-21,13.71
2016-04-22,13.21
2016-04-23,13.2
2016-04-24,13.71
2016-04-25,13.7
2016-04-26,13.24
2016-04-27,13.28
2016-04-28,13.68
2016-04-29,13.33
2016-04-30,13.78
2016-05-01,13.1
2016-05-02,14.12
2016-05-03,14.36
2016-05-04,14.32
2016-05-05,14.67
2016-05-06,14.68
2016-05-07,14.81
2016-05-08,14.91
2016-05-09,15.38
2016-05-10,15.11
2016-05-11,14.78
2016-05-12,14.81
2016-05-13,14.83
2016-05-14,14.57
2016-05-15,14.55
2016-05-16,13.67
2016-05-17,14.95
2016-05-18,15.1
2016-05-19,14.94
2016-05-20,15.28
2016-05-21,14.9
2016-05-22,14.77
2016-05-23,15.51
2016-05-24,15.29
2016-05-25,15.46
2016-05-26,15.42
2016-05-27,15.35
2016-05-28,15.54
2016-05-29,14.54
2016-05-30,15.91
2016-05-31,15.87
2016-06-01,15.99
2016-06-02,15.82
2016-06-03,15.81
2016-06-04,16.05
2016-06-05,15.19
2016-06-06,16.25
2016-06-07,16.47
2016-06-08,16.43
2016-06-09,16.43
2016-06-10,16.36
2016-06-11,15.56
2016-06-12,15.47
2016-06-13,16.63
2016-06-14,16.73
2016-06-15,16.82
2016-06-16,17.03
2016-06-17,17.2
2016-06-18,17.31
2016-06-19,16.38
2016-06-20,17.02
2016-06-21,17.28
2016-06-22,17.23
2016-06-23,17.17
2016-06-24,17.01
2016-06-25,17.32
2016-06-26,16.44
2016-06-27,17.24
2016-06-28,17.5
2016-06-29,17.24
2016-06-30,17.39
2016-07-01,17.18
2016-07-02,17.2
2016-07-03,17.17
2016-07-04,17.14
2016-07-05,17.6
2016-07-06,16.83
2016-07-07,17.71
2016-07-08,17.47
2016-07-09,17.36
2016-07-10,17.44
2016-07-11,17.89
2016-07-12,18.02
2016-07-13,18.02
2016-07-14,18.05
2016-07-15,18.3
2016-07-16,18.49
2016-07-17,18.48
2016-07-18,18.18
2016-07-19,18.2
2016-07-20,18.36
2016-07-21,18.46
2016-07-22,18.54
2016-07-23,18.19
2016-07-24,17.91
2016-07-25,18.35
2016-07-26,18.44
2016-07-27,18.68
2016-07-28,18.54
2016-07-29,18.34
2016-07-30,18.56
2016-07-31,18.89
2016-08-01,18.57
2016-08-02,18.81
2016-08-03,18.39
2016-08-04,18.36
2016-08-05,18.39
2016-08-06,18.56
2016-08-07,18.08
2016-08-08,18.25
2016-08-09,18.24
2016-08-10,18.35
2016-08-11,18.39
2016-08-12,18.28
2016-08-13,17.52
2016-08-14,17.39
2016-08-15,18.3
2016-08-16,18.17
2016-08-17,18.36
2016-08-18,18.73
2016-08-19,18.17
2016-08-20,17.69
2016-08-21,16.95
2016-08-22,17.95
2016-08-23,18.05
2016-08-24,18.08
2016-08-25,18.61
2016-08-26,18.12
2016-08-27,17.65
2016-08-28,17.21
2016-08-29,18.11
2016-08-30,18.05
2016-08-31,17.99
2016-09-01,17.83
2016-09-02,17.56
2016-09-03,17.93
2016-09-04,17.81
2016-09-05,17.74
2016-09-06,17.9
2016-09-07,17.88
2016-09-08,17.89
2016-09-09,17.69
2016-09-10,17.59
2016-09-11,18.26
2016-09-12,17.71
2016-09-13,18.54
2016-09-14,17.34
2016-09-15,17.52
2016-09-16,17.34
2016-09-17,17.05
2016-09-18,17.46
2016-09-19,17.36
2016-09-20,17.75
2016-09-21,17.29
2016-09-22,17.08
2016-09-23,17.43
2016-09-24,18.18
2016-09-25,18.02
2016-09-26,17.63
2016-09-27,17.36
2016-09-28,17.41
2016-09-29,17.01
2016-09-30,16.94
2016-10-01,17.24
2016-10-02,16.27
2016-10-03,16.91
2016-10-04,17.13
2016-10-05,17.03
2016-10-06,17.08
2016-10-07,17.1
2016-10-08,17.16
2016-10-09,17.11
2016-10-10,16.04
2016-10-11,16.81
2016-10-12,17.08
2016-10-13,16.42
2016-10-14,16.52
2016-10-15,16.7
2016-10-16,16.2
2016-10-17,16.9
2016-10-18,17.14
2016-10-19,16.96
2016-10-20,16.89
2016-10-21,16.87
2016-10-22,16.94
2016-10-23,16.04
2016-10-24,16.6
2016-10-25,16.5
2016-10-26,16.37
2016-10-27,16.33
2016-10-28,16.48
2016-10-29,16.23
2016-10-30,16.14
2016-10-31,17.66
2016-11-01,17.03
2016-11-02,16.66
2016-11-03,16.7
2016-11-04,16.64
2016-11-05,16.7
2016-11-06,15.74
2016-11-07,16.9
2016-11-08,16.55
2016-11-09,16.51
2016-11-10,16.29
2016-11-11,16.39
2016-11-12,15.77
2016-11-13,15.42
2016-11-14,16.92
2016-11-15,16.33
2016-11-16,16.05
2016-11-17,15.96
2016-11-18,16.07
2016-11-19,15.96
2016-11-20,16.01
2016-11-21,16.01
2016-11-22,16.01
2016-11-23,15.68
2016-11-24,15.72
2016-11-25,15.73
2016-11-26,15.58
2016-11-27,14.38
2016-11-28,13.82
2016-11-29,14.51
2016-11-30,14.63
2016-12-01,14.49
2016-12-02,14.76
2016-12-03,14.71
2016-12-04,14.25
2016-12-05,14.19
2016-12-06,14.25
2016-12-07,14.37
2016-12-08,14.22
2016-12-09,13.63
2016-12-10,13.0
2016-12-11,12.53
2016-12-12,13.73
2016-12-13,12.87
2016-12-14,13.3
2016-12-15,12.86
2016-12-16,12.74
2016-12-17,12.93
2016-12-18,11.47
2016-12-19,12.47
2016-12-20,12.34
2016-12-21,12.26
2016-12-22,12.36
2016-12-23,12.6
2016-12-24,12.2
2016-12-25,10.84
2016-12-26,11.44
2016-12-27,11.32
2016-12-28,11.35
2016-12-29,11.58
2016-12-30,11.35
2016-12-31,11.55
2017-01-01,10.23
2017-01-02,10.34
2017-01-03,11.16
2017-01-04,11.21
2017-01-05,11.54
2017-01-06,11.32
2017-01-07,11.07
2017-01-08,10.1
2017-01-09,11.1
2017-01-10,11.15
2017-01-11,11.28
2017-01-12,11.27
2017-01-13,11.14
2017-01-14,9.98
2017-01-15,9.94
2017-01-16,11.05
2017-01-17,10.93
2017-01-18,11.0
2017-01-19,10.95
2017-01-20,10.96
2017-01-21,10.11
2017-01-22,10.56
2017-01-23,11.0
2017-01-24,11.42
2017-01-25,11.33
2017-01-26,11.13
2017-01-27,10.05
2017-01-28,10.18
2017-01-29,10.71
2017-01-30,10.55
2017-01-31,10.6
2017-02-01,10.59
2017-02-02,10.3
2017-02-03,10.38
2017-02-04,10.64
2017-02-05,10.41
2017-02-06,10.42
2017-02-07,10.6
2017-02-08,10.56
2017-02-09,10.26
2017-02-10,10.53
2017-02-11,9.53
2017-02-12,10.51
2017-02-13,10.08
2017-02-14,10.35
2017-02-15,10.34
2017-02-16,10.33
2017-02-17,10.48
2017-02-18,11.24
2017-02-19,10.32
2017-02-20,10.68
2017-02-21,10.02
2017-02-22,10.14
2017-02-23,10.17
2017-02-24,10.25
2017-02-25,10.58
2017-02-26,10.22
2017-02-27,10.07
2017-02-28,9.44
2017-03-01,10.04
2017-03-02,10.0
2017-03-03,10.08
2017-03-04,10.36
2017-03-05,9.37
2017-03-06,9.52
2017-03-07,10.09
2017-03-08,10.14
2017-03-09,9.91
2017-03-10,9.31
2017-03-11,9.26
2017-03-12,9.4
2017-03-13,11.64
2017-03-14,10.15
2017-03-15,9.72
2017-03-16,9.69
2017-03-17,9.75
2017-03-18,9.87
2017-03-19,10.22
2017-03-20,9.44
2017-03-21,9.68
2017-03-22,9.7
2017-03-23,9.7
2017-03-24,9.46
2017-03-25,9.74
2017-03-26,8.88
2017-03-27,9.76
2017-03-28,9.7
2017-03-29,10.01
2017-03-30,9.76
2017-03-31,9.62
2017-04-01,10.12
2017-04-02,8.93
2017-04-03,9.54
2017-04-04,10.21
2017-04-05,10.48
2017-04-06,9.95
2017-04-07,9.83
2017-04-08,9.57
2017-04-09,10.06
2017-04-10,9.93
2017-04-11,10.16
2017-04-12,10.11
2017-04-13,9.98
2017-04-14,9.64
2017-04-15,10.87
2017-04-16,10.42
2017-04-17,10.09
2017-04-18,9.9
2017-04-19,10.0
2017-04-20,10.15
2017-04-21,10.13
2017-04-22,9.76
2017-04-23,9.73
2017-04-24,10.12
2017-04-25,10.08
2017-04-26,10.42
2017-04-27,10.09
2017-04-28,10.56
2017-04-29,10.13
2017-04-30,9.98
2017-05-01,9.53
2017-05-02,10.15
2017-05-03,10.28
2017-05-04,10.16
2017-05-05,9.83
2017-05-06,10.19
2017-05-07,10.11
2017-05-08,10.26
2017-05-09,10.21
2017-05-10,11.19
2017-05-11,10.33
2017-05-12,10.35
2017-05-13,10.54
2017-05-14,10.46
2017-05-15,10.19
2017-05-16,10.49
2017-05-17,10.53
2017-05-18,10.15
2017-05-19,10.24
2017-05-20,10.67
2017-05-21,9.52
2017-05-22,9.89
2017-05-23,10.4
2017-05-24,10.46
2017-05-25,10.52
2017-05-26,10.14
2017-05-27,9.84
2017-05-28,9.33
2017-05-29,10.06
2017-05-30,10.31
2017-05-31,10.28
2017-06-01,10.18
2017-06-02,10.2
2017-06-03,9.99
2017-06-04,9.73
2017-06-05,10.23
2017-06-06,10.38
2017-06-07,10.4
2017-06-08,10.63
2017-06-09,10.82
2017-06-10,11.24
2017-06-11,10.93
2017-06-12,10.12
2017-06-13,10.58
2017-06-14,10.79
2017-06-15,10.7
2017-06-16,10.54
2017-06-17,10.46
2017-06-18,10.07
2017-06-19,10.49
2017-06-20,10.91
2017-06-21,11.07
2017-06-22,11.12
2017-06-23,11.32
2017-06-24,11.35
2017-06-25,10.01
2017-06-26,10.11
2017-06-27,10.67
2017-06-28,10.86
2017-06-29,11.06
2017-06-30,10.85
2017-07-01,11.05
2017-07-02,10.55
2017-07-03,10.71
2017-07-04,11.08
2017-07-05,11.13
2017-07-06,11.12
2017-07-07,11.05
2017-07-08,10.95
2017-07-09,10.28
2017-07-10,10.85
2017-07-11,10.65
2017-07-12,10.96
2017-07-13,11.27
2017-07-14,11.47
2017-07-15,11.53
2017-07-16,11.32
2017-07-17,11.23
2017-07-18,11.31
2017-07-19,11.44
2017-07-20,11.34
2017-07-21,11.21
2017-07-22,11.51
2017-07-23,11.23
2017-07-24,11.48
2017-07-25,11.15
2017-07-26,11.21
2017-07-27,11.29
2017-07-28,11.94
2017-07-29,11.96
2017-07-30,12.06
2017-07-31,12.05
2017-08-01,11.67
2017-08-02,11.39
2017-08-03,11.72
2017-08-04,11.68
2017-08-05,11.12
2017-08-06,11.0
2017-08-07,11.59
2017-08-08,11.67
2017-08-09,11.81
2017-08-10,11.72
2017-08-11,11.82
2017-08-12,12.11
2017-08-13,11.06
2017-08-14,11.72
2017-08-15,11.51
2017-08-16,11.4
2017-08-17,11.95
2017-08-18,11.91
2017-08-19,11.62
2017-08-20,11.05
2017-08-21,12.18
2017-08-22,12.29
2017-08-23,12.03
2017-08-24,12.24
2017-08-25,12.3
2017-08-26,12.07
2017-08-27,11.53
2017-08-28,11.33
2017-08-29,11.29
2017-08-30,11.42
2017-08-31,11.83
2017-09-01,11.42
2017-09-02,11.04
2017-09-03,11.17
2017-09-04,11.24
2017-09-05,11.31
2017-09-06,11.23
2017-09-07,11.8
2017-09-08,11.61
2017-09-09,11.16
2017-09-10,10.88
2017-09-11,11.82
2017-09-12,11.11
2017-09-13,11.31
